Country,Scale,Base Year,2017,2018,2019,2020,2021,2022,2023
Qatar,Millions,,586400.8048637159,667339.23188008,641991.414388257,525657.362576784,654024.759414553,863049.617153249,...
Romania,Millions,,851619.7,959058.6,1063794.6,1066780.5,1189089.8,1409783.9,...
Russian Federation,Millions,,91843154.3,103861651.0,109241536.4,106967459.4,...,...,...
Rwanda,Millions,,7694000.0,8298000.0,9305000.0,9596000.0,10930000,13716000,...
Samoa,Millions,,2252.17925,2313.19725,2417.196,2209.603,2191.38125,2305.164,...
"San Marino, Rep. of",Millions,,1353.14390227718,1401.70877886202,1443.74136780394,1352.40680641216,1439.43298404371,...,...
"São Tomé and Príncipe, Dem. Rep. of",Millions,,8154.0,8619.0,9424.0,10247.0,10719,...,...
Saudi Arabia,Millions,,2681230.1,3174689.2,3144617.6,2753516.9,3257197,4155558.7,...
Senegal,Millions,,12191796.0,12840090.0,13712659.0,14087594.675525801,15063824,17071194.3635984,...
"Serbia, Rep. of",Millions,,4760686.3499,5072932.242024,5421851.30824,5504430.24055,6271987.636963,7097629.1517,...
Seychelles,Millions,,20878.103609372898,22088.255277263,23085.9672221459,20849.4211528526,21771.4312148175,...,...
Sierra Leone,Millions,,27465429.0,32401626.0,36730874.0,39938072.0,44359564,...,...
Singapore,Millions,,474034.1,508337.4,514066.0,480691.2,569364.2,643545.8,...
Slovak Rep.,Millions,,84669.877,89874.693,94429.734,93444.096,100255.721,109645.184,...
"Slovenia, Rep. of",Millions,,43011.339179,45876.349631,48582.307354,47044.922336,52278.763739,57037.703487,...
Solomon Islands,Millions,,11592.8,12847.1,13234.0,12617.0,13107,...,...
Somalia,Millions,,5609.0,5856.0,6485.0,6883.0,7628,...,...
South Africa,Millions,,5078189.9,5363190.4,5625206.5,5567973.6,6208785.9,6628550.5,...
"South Sudan, Rep. of",Millions,,397138.0,660315.0,840607.0,1113170.0,1598380,...,...
Spain,Millions,,1162492.0,1203859.0,1245513.0,1119010.0,1222290,1346377,...
Sri Lanka,Millions,,14387319.000209698,15351933.5,15910975.6,15840163.6,17685854.2,24147726.1602166,...
St. Kitts and Nevis,Millions,,2863.72352634335,2911.9658795012497,3145.17015266512,2648.4458610778597,2566,...,...
St. Lucia,Millions,,5391.4,5575.8,5720.7,4365.3,4869.92868,...,...
St. Vincent and the Grenadines,Millions,,2288.6,2387.69,2357.4,2354.76,2355.53,...,...
Sudan,Millions,,886328.0,1361930.0,2029750.0,5169670.0,14956130,...,...
Suriname,Millions,,26893.278,29821.6776822141,31732.3434133657,38719.469261593906,60733.614,89471.626,...
Sweden,Millions,,4625094.0,4828306.0,5049619.0,5038538.0,5486558,5979430,...
Switzerland,Millions,,684558.467478,709521.556496,716878.589832,696619.95867,743330.231111,781460.26937,...
"Tajikistan, Rep. of",Millions,,64434.0,71059.0,79110.0,83958.0,98950,...,...
"Tanzania, United Rep. of",Millions,,118677626.924314,123989405.678017,134383845.927825,145429645.0723,156375288.121319,170255622.979207,...
Thailand,Millions,,15584353.0,16228668.0,16738873.0,15627378.0,16035431,16979267,...
"Timor-Leste, Dem. Rep. of",Millions,,1595.7,1563.9,2028.6,2158.4,3621.2,...,...
Togo,Millions,,3713574.0,3950447.0,4230509.0,4359854.0,4672450,...,...
Tonga,Millions,,1017.66832761065,1072.55590479493,1162.8618250871798,1119.71110187556,1068.68041225361,...,...
Trinidad and Tobago,Millions,,157244.546875,159776.2890625,154640.98828125,133329.0390625,157083.50390625,198648.2421875,...
Tunisia,Millions,,102011.521009716,112985.476287229,122969.3,119633.4,130466.1,...,...
"Türkiye, Rep of",Millions,,3133704.267,3761165.557,4317809.824,5048567.945,7256141.737,15011775.979,...
Turkmenistan,Millions,,162277.615192486,170401.22725881299,185363.208083745,186179.491836083,225283.56592678,273011.583085499,...
Tuvalu,Millions,,59.0,64.0,78.0,80.0,84,...,...
Uganda,Millions,,113242730.946027,123489497.874301,137523580.612236,133955637.145066,144042630.533973,...,...
Ukraine,Millions,,2982920.0,3560302.0,3977198.0,4191864.0,5450849,5191028,...
United Arab Emirates,Millions,,1434172.9627506002,1568339.09947049,1535067.25306993,1283439.64882491,1524744.1164473998,1862192.42348374,...
United Kingdom,Millions,,2082482.0,2152304.0,2233921.0,2104288.0,2284079,2506170,...
United States,Millions,,19612102.5,20656515.5,21521395.0,21322949.5,23594030.8,25744108.3,...
Uruguay,Millions,,1841998.92734441,1982243.90534949,2158728.68147014,2250264.06999817,2583553.3814578997,2930192.2837705803,...
"Uzbekistan, Rep. of",Millions,,316238401.852001,405495000.0,541133500.0,614642500.0,740256200,888341700,...
Vanuatu,Millions,,94887.0,100771.0,107450.0,104929.0,106136.65388183501,...,...
Vietnam,Millions,,6293904553.91016,7009042131.65849,7707200287.05148,8044385729.09459,8479666500.08789,9513327033.8023,4.65661287307739e-07
West Bank and Gaza,Millions,,16128.0,16232.4,17057.3,15512.8,18109,19111.9,...
"Yemen, Rep. of",Millions,,10006000.0,11578730.9122898,12606261.1475937,14005570.0,20617480,...,...
Zambia,Millions,,246510.00115129902,275174.5,300456.8,331363.668336601,442479.033410353,493505,...
Zimbabwe,Millions,,21385.0,36945.0,187419.0,1189140.0,2911110,...,...
